order_id,order_date,region,city,channel,segment,category,subcategory,payment_method,quantity,unit_price,discount_rate,distance_km,weight_kg,promised_delivery_days,actual_delivery_days,returned,customer_satisfaction,shipping_cost,cogs,payment_fee,net_sales,profit,staff_id,customer_id
ORD-M82K29P8,2024-08-26,Eldoret,Kapsoya,Retail,SME,Electronics,Smartphones,Card,5,51798.46,0.158,20.7,6.13,1,3,0,3.6,153.98,150075.51,4798.82,218128.03,63099.72,S-Q8DE3C,C-J53ABUJE
ORD-YQHY1O0H,2025-08-29,Nakuru,Lanet,Online,SME,Electronics,Accessories,Cash on Delivery,1,5372.95,0.056,79.5,3.71,4,6,0,4.25,828.28,3546.7,0.0,5070.23,695.25,,C-4DOFGJN5
ORD-7RAS0NHA,2024-02-12,Nairobi,Embakasi,Retail,SME,Fashion,Kids,M-Pesa,5,1749.26,0.06,45.8,4.13,2,3,0,3.96,204.38,4923.68,41.11,8221.54,3052.37,S-WTB5E6,C-LN531AJW
ORD-2DOEV6PE,2025-09-25,Nakuru,Naivasha,Online,SME,Home & Office,Stationery,M-Pesa,5,714.93,0.143,29.9,5.74,2,10,0,2.05,500.76,2004.12,15.32,3063.55,543.35,,C-1CPBSKX5
ORD-ZX9EKR3N,2025-02-09,Nairobi,Kasarani,Online,Consumer,Fashion,Kids,Bank Transfer,2,1856.4,0.06,38.6,2.8,1,2,0,4.17,500.93,1851.52,10.47,3489.23,1126.31,,C-4FB1O9ZG
ORD-HFMZQTI5,2025-12-15,Eldoret,Pioneer,Online,SME,Grocery,Dry Goods,,2,575.68,0.171,12.3,3.37,4,4,0,4.05,316.17,770.49,2.86,954.81,-134.71,,C-5VAC8ICF
ORD-ZKA1BJG8,2024-09-20,Kisumu,Manyatta,Online,Consumer,Home & Office,Cleaning,Card,2,900.48,0.117,41.0,,4,2,0,4.95,603.33,1046.97,34.99,1590.25,-95.04,,C-MU6Y7IH2
ORD-9FGJS2JJ,2024-08-17,Mombasa,Changamwe,Online,Consumer,Home & Office,Stationery,M-Pesa,3,586.0,0.128,34.5,4.51,2,2,0,3.79,507.77,980.25,7.66,1532.88,37.19,,C-1X38HE8P
ORD-KWNKIMP3,2025-04-17,Kisumu,Manyatta,Retail,Consumer,Electronics,TVs,M-Pesa,4,76747.33,0.056,50.0,1.26,0,0,0,4.31,193.33,214900.89,1448.93,289785.54,73242.4,S-RBPO5W,C-87N8ZC5S
ORD-1RQIW3BT,2025-10-26,Kisumu,Manyatta,Online,SME,Electronics,Smartphones,M-Pesa,2,55631.53,0.35,9.6,1.83,4,5,0,4.45,262.01,47525.74,361.6,72320.99,24171.64,,C-W6GP6A1K
ORD-MLCHK8A2,2025-03-21,Mombasa,Kisauni,Agent,Consumer,Grocery,Dry Goods,M-Pesa,14,481.45,0.069,21.3,5.79,3,4,0,4.94,437.13,5087.03,31.37,6273.89,718.35,S-LRGOM1,C-ICCT6TTW
ORD-TE7JGAK3,2025-07-03,Nairobi,Westlands,Retail,Consumer,Fashion,Women,M-Pesa,5,4177.6,0.173,15.5,3.76,1,2,0,3.46,122.11,10414.87,86.33,17266.79,6643.49,S-800UKG,C-OUL2DGYR
ORD-PA90VD8Q,2024-02-14,Nairobi,Lang'ata,Retail,Consumer,Home & Office,Appliances,M-Pesa,3,21167.67,0.193,15.0,1.88,1,2,0,3.89,106.4,31296.41,256.08,51216.26,19557.37,S-VZL765,C-94VLY4CG
ORD-ZY0VX3AA,2025-09-12,Nairobi,Embakasi,Online,Consumer,Grocery,Dairy,Cash on Delivery,9,237.52,0.127,41.0,2.88,4,5,0,3.63,520.74,1487.76,0.0,1865.92,-142.58,,C-X7RMJF7G
ORD-X452EI8T,2025-01-09,Mombasa,Nyali,Retail,Consumer,ELECTRONICS,Smartphones,M-Pesa,1,46982.65,0.114,30.6,4.04,2,3,0,4.8,163.86,28254.1,208.16,41632.84,13006.7,S-GU7M1E,C-DA8WAHV9
ORD-6DSLHXPE,2024-12-01,Nairobi,Embakasi,Online,SME,Home & Office,Cleaning,M-Pesa,4,1288.4,0.51778783207031,78.6,5.35,4,4,0,4.49,857.23,2537.81,19.43,3886.71,472.24,,C-1TZKN4HE
ORD-RFRGL84P,2025-08-27,Mombasa,Nyali,Retail,Corporate,Home & Office,Appliances,Card,14,24767.17,0.276,65.8,6.46,2,1,1,1.69,274.85,158075.91,5525.26,251148.03,-24478.37,S-G61TGL,C-MCHJCUUD
ORD-WZYT8J0A,2024-07-14,Mombasa,Nyali,Retail,Consumer,Building Materials,Cement,Bank Transfer,3,950.83,0.148,50.8,1.62,0,1,0,3.55,198.31,1777.9,7.29,2431.33,447.83,S-XBDUN8,C-2FHE4TGI
ORD-YPMBCDG3,2024-06-25,Nairobi,Kasarani,Online,Consumer,Fashion,Women,M-Pesa,2,3762.28,0.127,42.9,3.42,1,1,1,3.39,547.21,3676.37,32.86,6571.32,-4343.96,,C-S0H5C2AI
ORD-10YYEIQV,2025-06-02,Kisumu,Kondele,Retail,Consumer,Electronics,Accessories,M-Pesa,2,3256.69,0.128,42.9,2.04,2,2,0,3.75,180.7,3725.28,28.39,5677.1,1742.73,S-XIAOO2,C-OVX9UBXZ
ORD-N1GT46V1,2024-05-31,Kisumu,Milimani,Agent,Consumer,Home & Office,Appliances,Cash on Delivery,1,19838.89,0.067,35.0,8.68,2,0,0,3.85,603.69,12228.06,0.0,18515.45,5683.7,S-UKVGRZ,C-3K99VSKR
ORD-VXVGNZ5U,2024-10-11,Nairobi,,Online,SME,Grocery,Dairy,M-Pesa,10,210.72,0.127,22.2,5.6,4,5,0,4.21,439.88,1379.63,9.2,1839.68,10.96,,C-K1KAFV5R
ORD-KEPZJZEO,2024-03-18,Mombasa,Changamwe,Retail,SME,Fashion,Kids,M-Pesa,3,1954.21,0.21,36.8,2.52,2,4,0,3.69,168.52,2849.46,23.14,4628.56,1587.44,S-5D7ZHW,C-R6ZRGX2P
ORD-WNPQCY8G,2025-02-21,Nakuru,Molo,Online,Consumer,Grocery,Fresh Produce,M-Pesa,3,231.87,0.052,17.6,4.03,2,2,0,4.42,370.92,504.75,3.3,659.33,-219.63,,C-4KRC0S98
ORD-2N85MU6O,2024-07-24,Kisumu,,Online,Consumer,Home & Office,Stationery,M-Pesa,3,675.97,0.092,55.3,4.53,2,0,0,4.01,664.76,1153.79,9.2,1840.68,12.93,,C-CNBQGNQK
ORD-GVHJGMJK,2025-12-04,Nakuru,Molo,Retail,Consumer,Fashion,Women,Bank Transfer,5,4094.02,0.324,4.0,5.82,1,1,0,5.0,107.83,7935.29,41.49,13828.64,5744.03,S-I1P5XE,C-YN5USTG6
ORD-CM3JY2YH,2024-11-17,Nairobi,Lang'ata,Agent,Consumer,Building Materials,Paint,M-Pesa,5,1163.39,0.066,13.4,11.66,1,1,0,4.58,506.77,3980.2,27.18,5435.07,920.93,S-W09S9T,C-XGGQNE8Q
ORD-J19CSLF6,2025-09-23,Nakuru,Molo,Retail,Consumer,Grocery,Dairy,M-Pesa,7,230.27,0.094,27.2,1.83,1,2,0,4.96,137.95,1123.65,7.3,1459.77,190.88,S-DFOCR6,C-VEDB7ACR
ORD-BJ6JJV1U,2024-06-12,Kisumu,Kondele,Retail,Consumer,Grocery,Dry Goods,M-Pesa,12,513.33,0.268,14.6,2.54,1,3,0,4.01,110.35,3586.15,22.56,4511.91,792.85,S-DD654Y,C-W8VOS6R3
ORD-3TSFKMEK,2024-09-09,Kisumu,Milimani,Online,SME,Grocery,Dairy,M-Pesa,6,219.58,0.5049468701484991,18.3,7.63,3,4,0,3.3,455.17,892.81,5.81,1161.87,-191.92,,C-TLXP5NRZ
ORD-82MEZ9KN,2025-07-02,Nairobi,Embakasi,Retail,Consumer,Home & Office,Cleaning,,4,1391.81,0.07,31.3,5.1,0,1,0,4.65,173.95,3388.44,113.96,5180.05,1503.7,S-VMPEAP,C-JBVLXQ56
ORD-PSB9UQPN,2025-07-28,Mombasa,Kisauni,Retail,Consumer,Grocery,Dry Goods,M-Pesa,11,633.9,0.094,59.7,3.16,2,3,0,3.49,233.42,4657.13,31.57,6314.56,1392.44,S-1KFZBK,C-QJ3GMZK1
ORD-9AD9E3AT,2025-02-02,Kisumu,Milimani,Retail,Consumer,Grocery,Fresh Produce,M-Pesa,5,241.05,0.11,47.6,2.87,0,1,0,5.0,199.56,876.84,5.36,1072.22,-9.54,S-S5E9F8,C-WOH66Q96
ORD-C1EUISDE,2025-07-11,Nakuru,Naivasha,Retail,Consumer,Grocery,Beverages,M-Pesa,3,159.59,0.026,17.1,2.18,2,3,0,4.3,114.22,393.17,2.33,466.41,-43.31,S-HCBFPO,C-N0ZSQPJO
ORD-HT9G1G4C,2025-09-25,Nairobi,CBD,Retail,Consumer,Grocery,Dairy,Cash on Delivery,14,244.81,0.101,22.5,1.5,2,5,0,,123.05,2317.29,0.0,3082.43,642.1,S-V7EF0F,C-NCE0PE0I
ORD-7MN8O1G6,2024-09-13,Nairobi,Lang'ata,Online,SME,Home & Office,Appliances,M-Pesa,5,25519.63,0.319,17.8,4.91,3,2,0,4.16,391.93,52982.23,434.19,86837.97,33029.62,,C-O9QVO2KN
ORD-DB1P9UD4,2025-02-13,Eldoret,Kapsoya,Retail,Consumer,Home & Office,Appliances,M-Pesa,5,20339.41,0.081,,3.49,0,2,0,,135.91,58486.86,467.17,93434.45,34344.51,S-U2IFIB,C-X3VL4F8Y
ORD-150WTBEU,2024-01-12,Eldoret,Langas,Online,Consumer,Building Materials,Paint,Card,5,907.41,0.35,5.4,6.79,4,9,0,2.47,339.72,2051.09,64.88,2949.08,493.39,,C-MYPT2U1V
ORD-OLCVL6EY,2025-12-31,Nairobi,Lang'ata,Agent,Consumer,GROCERY,Beverages,M-Pesa,10,213.62,0.124,15.2,6.5,4,2,0,,407.08,1442.57,9.35,1870.27,11.26,S-RETP2H,C-PSMSTF3M
ORD-JMX8KJR1,2024-11-08,Nakuru,Naivasha,Retail,Consumer,Grocery,Fresh Produce,Card,14,270.83,0.099,63.1,2.0,0,1,0,3.77,233.55,2646.84,75.2,3417.96,462.38,S-RN92HS,C-74EZUCQ8
ORD-1V34QMES,2024-01-09,Nairobi,Kasarani,Online,SME,Grocery,Dairy,Card,6,197.8,0.155,9.7,5.33,1,2,0,4.09,340.47,727.51,22.06,1002.61,-87.42,,C-T5FMLFXF
ORD-EIGEQC2N,2025-09-13,Nairobi,Kasarani,Online,Consumer,Grocery,Dry Goods,M-Pesa,10,496.05,0.115,67.3,,1,0,0,4.38,796.19,3612.46,21.94,4388.42,-42.17,,C-ZIHTBYJI
ORD-60PRJ1ZK,2025-11-15,Kisumu,Manyatta,Online,Consumer,Electronics,Accessories,Bank Transfer,5,5546.03,0.06,24.0,1.16,2,4,0,3.95,355.31,18275.06,78.21,26070.49,7361.9,,C-AIWSY6O1
ORD-KE2P9A87,2024-06-19,Nairobi,Westlands,Agent,Consumer,Grocery,Dry Goods,M-Pesa,9,493.72,0.199,115.5,3.14,3,3,0,4.01,1085.69,2665.8,17.79,3558.22,-211.05,S-3626AZ,C-3805KA5M
ORD-KCCUKD63,2024-03-01,Nairobi,Lang'ata,Retail,SME,Grocery,Dairy,M-Pesa,15,217.87,0.301,31.8,1.08,0,0,0,4.25,144.38,1727.39,11.42,2284.12,400.93,S-K2Q00Y,C-RIXY95PX
ORD-9B1JG8BE,2025-06-14,Mombasa,Changamwe,Retail,Consumer,Grocery,Fresh Produce,M-Pesa,7,258.48,0.312,33.0,2.66,1,1,0,4.8,159.55,960.43,6.22,1244.8,118.6,S-UU91X9,C-DTEI9XKS
ORD-RXSA1ZVF,2025-02-02,Eldoret,Kapsoya,Retail,Consumer,Grocery,Dry Goods,M-Pesa,12,564.47,0.113,51.0,1.61,2,2,0,4.81,198.72,4861.83,30.03,6005.85,915.27,S-I8QTKJ,C-5UKLKGMN
ORD-Q0N8K0XV,2024-08-27,Nairobi,Embakasi,Retail,SME,Electronics,TVs,Cash on Delivery,2,67199.07,0.086,33.1,3.63,0,1,1,3.36,167.23,83473.39,0.0,122891.63,-36604.53,S-0AAHNU,C-ELHNBVQH
ORD-PUZQKRR4,2025-05-08,Eldoret,Kapsoya,Retail,SME,Home & Office,Cleaning,Card,1,1065.16,0.164,67.0,1.61,2,3,0,4.87,240.7,595.36,19.6,890.92,35.26,S-RYQO1E,C-H989ZHL3
ORD-YQT06H2O,2025-06-03,Mombasa,Nyali,Retail,Consumer,Fashion,Kids,Bank Transfer,1,2315.26,0.048,19.3,3.82,1,4,0,3.9,132.5,1203.5,6.61,2203.32,860.71,S-7VY0T2,C-MO2OZRNX
ORD-SEJQ5UBE,2024-04-30,Mombasa,Likoni,Online,Consumer,Building Materials,Tiles,Cash on Delivery,4,5427.106187859715,0.152,49.8,11.24,4,5,0,3.51,771.17,2727.01,0.0,3883.86,385.68,,C-03WLT082
ORD-0G1JKSQT,2025-02-27,Eldoret,Pioneer,Retail,Consumer,Grocery,Beverages,M-Pesa,9,152.21,0.192,49.1,2.65,0,0,0,4.81,201.85,848.17,5.53,1106.7,51.15,S-4ZNNX1,C-IVKPJPU6
ORD-RMYK415L,2024-05-30,Nairobi,Lang'ata,Retail,Consumer,Grocery,Fresh Produce,Card,1,234.37,0.154,45.1,5.07,1,1,0,4.85,210.01,154.19,4.36,198.34,-170.22,S-EZXYS8,C-FUOVAQ0Q
ORD-96NPHTQ3,2024-10-13,Kisumu,Kondele,Retail,Consumer,Grocery,Dry Goods,Cash on Delivery,14,531.67,0.108,59.9,2.57,2,3,0,4.51,229.4,5262.56,0.0,6641.06,1149.1,S-2LOBYJ,C-S7UABOXP
ORD-ORYDDYS2,2024-11-25,Kisumu,Kondele,Retail,SME,Home & Office,Appliances,M-Pesa,3,24704.11,0.178,18.6,9.13,0,2,0,4.18,171.54,38803.33,304.72,60943.12,21663.53,S-BH93U2,C-WDGJYE2J
ORD-DLJ1JO4F,2025-11-12,Kisumu,Manyatta,Retail,Consumer,Home & Office,Cleaning,Card,1,1375.41,0.249,22.9,5.41,1,2,0,4.01,154.35,710.53,22.72,1032.76,145.16,S-7ABHMS,C-UXPH8LME
ORD-ZGRJ3UX4,2025-07-24,Eldoret,Pioneer,Retail,SME,Grocery,Dairy,M-Pesa,7,229.96,0.045,35.0,3.06,1,1,0,4.64,168.02,1199.72,7.69,1537.58,162.16,S-AWZO5N,C-PUD35V1G
ORD-OXSH2JZW,2024-04-18,Mombasa,Changamwe,Agent,Consumer,Electronics,Smartphones,M-Pesa,1,45306.25,0.175,90.2,2.0,2,4,0,3.55,870.09,27126.41,186.9,37380.66,9197.25,S-YW8DT6,C-LRQDQT1Y
ORD-HEIK6VKT,2024-08-03,Mombasa,Kisauni,Retail,Consumer,Building Materials,Paint,M-Pesa,1,1090.38,0.053,16.5,5.13,2,2,0,4.56,135.35,731.66,5.17,1033.05,160.87,S-M5JZ7W,C-CK2SG0KK
ORD-VALOQGCE,2025-01-22,Mombasa,Likoni,Retail,SME,Grocery,Fresh Produce,M-Pesa,11,278.28,0.202,18.8,4.1,2,3,0,4.04,133.37,1938.16,12.21,2442.34,358.6,S-F54DTI,C-FRVBTNOC
ORD-GQ1I742X,2024-03-02,Mombasa,Kisauni,Retail,Consumer,Home & Office,Stationery,M-Pesa,5,736.46,0.161,15.8,12.86,0,1,0,4.22,193.04,2158.33,15.44,3088.47,721.65,S-QZFBVV,C-QTB6J9QQ
ORD-J7QFDLCH,2024-03-04,Eldoret,Kapsoya,Retail,Consumer,GROCERY,Dry Goods,M-Pesa,1,405.78,0.184,18.1,4.3,1,1,0,5.0,133.04,261.37,1.65,330.97,-65.1,S-O3S42I,C-AEF6PW8I
ORD-95A7I70G,2024-07-30,Nakuru,Naivasha,Online,Consumer,GROCERY,Dairy,M-Pesa,4,197.79,0.172,60.6,2.04,2,2,0,4.06,648.93,501.07,3.28,655.44,-497.83,,C-ISJAIH7P
ORD-USQA6WIU,2024-09-18,Eldoret,Kapsoya,Retail,Consumer,Grocery,Dry Goods,M-Pesa,7,558.86,0.058,15.1,10.84,2,2,0,5.0,175.7,2851.44,18.43,3686.6,641.02,S-H4NRCF,C-LCY9YZHM
ORD-UHD7DMKZ,2025-12-09,Mombasa,Nyali,Retail,SME,Fashion,Women,M-Pesa,4,3950.7,0.114,86.8,8.69,2,4,0,3.31,347.16,7897.44,69.97,13993.38,5678.81,S-PD8I4L,C-S1H3RY7P
ORD-4LUG47HQ,2025-05-04,Kisumu,Manyatta,Online,Consumer,Fashion,Footwear,M-Pesa,5,3005.33,0.207,40.0,1.29,2,2,0,4.69,478.32,6434.68,59.56,11912.27,4939.71,,C-GLXT1S3O
ORD-SVMXH7DT,2024-02-10,Nakuru,Bahati,Online,SME,Fashion,Footwear,M-Pesa,1,3265.38,0.158,10.9,4.49,1,2,0,,330.7,1528.88,13.74,2748.9,875.58,,C-PM1G9YRV
ORD-Y7LGMFM4,2024-11-06,Eldoret,Pioneer,Retail,Consumer,Grocery,Dry Goods,M-Pesa,14,475.3,0.086,9.0,2.28,2,2,0,4.07,93.6,4608.61,30.39,6078.78,1346.17,S-2CU60R,C-URWCHP61
ORD-I9GL3TA6,2025-12-22,Eldoret,Langas,Retail,Consumer,Grocery,Dairy,M-Pesa,14,235.43,0.228,24.9,7.25,2,3,0,3.83,173.75,1920.96,12.72,2543.96,436.53,S-VLE7VV,C-VH4YKJBQ
ORD-50M3MV10,2024-04-05,Nakuru,Molo,Retail,SME,Electronics,Accessories,M-Pesa,5,3166.7,0.158,12.5,3.65,2,3,0,4.44,113.35,9158.6,66.63,13326.75,3988.16,S-UZFG23,C-HBHMNFJW
ORD-ZQMJ5FHR,2025-12-20,Nairobi,Kasarani,Online,Consumer,Home & Office,Appliances,M-Pesa,1,29088.86,0.263,24.5,8.45,3,4,0,4.77,519.4,13360.7,107.22,21444.0,7456.68,,C-CIJIAYBO
ORD-XJJOQ5RA,2024-09-19,Mombasa,Nyali,Online,Consumer,Electronics,Smartphones,M-Pesa,4,50657.95,0.211,50.1,4.62,1,2,0,3.65,627.35,113170.48,799.6,159919.74,45322.32,,C-TSXU5KTQ
ORD-A1VAOQAD,2025-11-20,Mombasa,Nyali,Online,Consumer,Grocery,Beverages,M-Pesa,8,172.03,0.191,39.1,1.87,3,2,0,3.78,484.26,887.12,5.56,1112.77,-264.18,,C-CY3ZY5A9
ORD-PCIMHWV7,2025-01-03,Kisumu,Manyatta,Retail,Consumer,Home & Office,Stationery,M-Pesa,1,568.41,0.31,,3.17,1,1,0,3.96,133.99,240.45,1.96,392.4,16.0,S-2VFE8X,C-EA37Z9X3
ORD-QGPQD0ZI,2024-08-17,Mombasa,Changamwe,Retail,SME,Grocery,Dry Goods,M-Pesa,5,442.25,0.063,53.2,1.59,2,2,0,4.3,204.51,1703.18,10.35,2070.88,152.84,S-LNY1XS,C-KH5K989Z
ORD-PMMGAM1G,2024-08-26,Mombasa,Kisauni,Retail,SME,Grocery,Beverages,Bank Transfer,2,149.78,0.056,31.6,1.83,1,0,0,4.41,149.48,227.04,0.85,282.89,-94.47,S-4GV0D2,C-6MTD81PO
ORD-SHN8TPCM,2025-04-05,Kisumu,Kondele,Agent,Consumer,Grocery,Dairy,Cash on Delivery,14,217.62,0.114,6.3,2.67,1,3,0,3.26,256.12,2202.58,0.0,2698.31,239.61,S-TOFYAW,C-OM3U87RT
ORD-8FJH62R7,2025-11-09,Nakuru,Bahati,Agent,Consumer,Home & Office,Furniture,M-Pesa,2,22228.46,0.248,16.4,3.58,3,3,0,4.92,351.71,20419.59,167.23,33445.12,12506.59,S-9TCGWD,C-NL2KT2GI
ORD-8YLWPDHO,2024-02-10,Eldoret,Pioneer,Online,Consumer,Fashion,Women,M-Pesa,1,3061.45,0.3,13.9,6.61,4,5,0,3.99,399.85,1206.08,10.71,2142.28,525.64,,C-3OGFL8JL
ORD-3VUAWZPB,2024-01-14,Eldoret,Langas,Retail,Consumer,Grocery,Fresh Produce,M-Pesa,1,224.77,0.22,21.5,2.03,1,2,0,4.52,124.53,138.84,0.88,175.34,-88.9,S-45SZ7S,C-MI5YRWJF
ORD-O50JX4XA,2025-09-26,Kisumu,Manyatta,Retail,SME,Grocery,Beverages,Bank Transfer,9,154.83,0.181,60.0,2.27,2,1,0,4.3,227.46,884.31,3.42,1140.72,25.53,S-4CD1A9,C-YI6KJCZD
ORD-V57QMDMY,2024-11-20,Mombasa,Nyali,Online,Consumer,Electronics,Computers,M-Pesa,4,77706.66,0.059,29.3,6.18,3,3,0,4.62,505.27,218819.14,1463.0,292599.84,71812.44,,C-KSOV9LYF
ORD-CBFGTU3R,2025-05-26,Kisumu,Milimani,Agent,Consumer,Grocery,Beverages,M-Pesa,11,204.26,0.301,26.0,3.13,1,2,0,3.57,413.76,1182.69,7.85,1570.04,-34.26,S-G7016U,C-TTRUTE66
ORD-D54UEPRA,2025-09-16,Nairobi,Westlands,Retail,Consumer,Grocery,Dairy,M-Pesa,13,219.12,0.025,46.3,4.63,0,6,0,2.11,209.64,2294.19,13.88,2776.51,258.81,S-UQZKKG,C-R6ZRGX2P
ORD-FKWJX7OR,2025-04-21,Mombasa,Likoni,Online,SME,Grocery,Fresh Produce,Card,15,246.93,0.338,29.4,2.25,1,1,0,4.46,420.28,1978.56,53.95,2452.41,-0.38,,C-1M1B25CC
ORD-V5TYEOUK,2025-11-12,Kisumu,Milimani,Retail,SME,Fashion,Men,M-Pesa,5,3838.07,0.35,17.7,2.41,0,3,0,3.1,117.44,7255.3,62.37,12473.73,5038.62,S-AK1P8F,C-ZOR1HRAZ
ORD-VWNNNS7F,2024-05-02,Eldoret,Langas,Retail,Consumer,Electronics,Computers,M-Pesa,5,59163.27,0.088,20.1,0.98,0,0,0,5.0,112.69,184729.04,1348.34,269668.07,83477.99,S-H8XYZP,C-6B55HPSE
ORD-ZX8X6E0X,2025-12-13,Nakuru,Lanet,Online,Corporate,Electronics,Smartphones,Card,5,56598.62,0.35,14.5,,4,5,0,4.69,329.94,131820.75,4046.8,183945.52,47748.02,,C-1R4ASXOL
ORD-0QKSIC7J,2025-07-29,Nakuru,Molo,Online,Consumer,Fashion,Men,M-Pesa,5,3469.43,0.1,19.7,3.72,3,5,0,3.32,379.35,8676.83,78.1,15620.34,6486.05,,C-MVNO34G0
ORD-J70V772N,2024-10-09,Nairobi,Kasarani,Online,SME,Grocery,Dry Goods,Card,2,412.21,0.144,21.2,4.2,4,5,0,3.51,401.25,593.67,15.52,705.5,-304.94,,C-VM6BFKTK
ORD-6WCGPXPH,2025-08-11,Kisumu,Milimani,Retail,SME,Grocery,Dry Goods,M-Pesa,3,561.22,0.064,25.9,1.38,0,0,0,4.31,131.14,1245.91,7.88,1575.97,191.04,S-J2FEOW,C-OFIRVYEC
ORD-RWL3K3EN,2025-04-22,Nairobi,Lang'ata,Online,Consumer,Home & Office,Cleaning,M-Pesa,4,970.83,0.066,,2.79,3,1,0,5.0,607.69,2081.12,18.13,3626.57,919.62,,C-55HPWFLH
ORD-RJ1WID5G,2024-11-14,Nakuru,Naivasha,Retail,Consumer,Building Materials,Steel,M-Pesa,4,1354.24,0.113,40.5,6.0,1,2,0,4.34,205.12,3497.46,24.02,4803.22,1076.63,S-9YT4GX,C-NILOOMMX
ORD-8CSO55N6,2025-07-29,Nairobi,CBD,Online,Consumer,Building Materials,Tiles,M-Pesa,1,1341.29,0.126,26.6,15.01,3,1,0,4.06,680.07,875.01,5.86,1172.89,-388.06,,C-V6BHNEYZ
ORD-0T9918BF,2024-09-11,Eldoret,Kapsoya,Retail,SME,Home & Office,Furniture,M-Pesa,4,23222.48,0.203,29.1,3.13,0,1,0,4.47,152.91,45527.24,369.96,73991.13,27941.03,S-AW4QT2,C-ESIVWO0N
ORD-OYQI16KL,2025-08-11,Kisumu,Manyatta,Retail,SME,Grocery,Dairy,Bank Transfer,1,191.79,0.045,33.2,2.61,0,0,0,4.88,159.85,137.84,0.55,183.14,-115.1,S-K8724J,C-Y0BFY9RJ
ORD-GVUB8T2C,2024-04-03,Nairobi,Westlands,Online,Consumer,Home & Office,Cleaning,M-Pesa,1,835.49,0.225,39.6,2.52,3,4,0,3.76,502.47,460.28,3.24,647.65,-318.34,,C-1CUEFU8B
ORD-H33BWKRT,2024-03-19,Kisumu,Manyatta,Retail,Consumer,Home & Office,Furniture,M-Pesa,5,17315.83,0.03,51.2,25.53,0,2,0,3.78,383.45,51891.31,419.76,83951.59,31257.08,S-WCEJD9,C-U13FVJ69
ORD-ERVUS4V7,2025-11-24,Eldoret,Kapsoya,Online,SME,Electronics,Smartphones,M-Pesa,5,43569.92,0.201,5.5,2.46,3,3,0,,245.28,127286.42,870.72,174144.82,45742.39,,C-ND7XYLPU
